,公司名称,Q1分数,Q1激励,Q2分数,Q2激励,Q4分数,Q4激励
0,新港建元,86.96,0.0,90.19,30000.0,0.0,0.0
1,洪武盛世,75.59,0.0,76.25,0.0,0.0,0.0
2,新港永初,74.76,0.0,71.71,-20000.0,0.0,0.0
3,新港海川,83.18,0.0,63.34,-50000.0,0.0,0.0
4,新港先秦,76.17,0.0,73.22,0.0,0.0,0.0
5,新港治元,77.05,0.0,76.46,0.0,0.0,0.0
6,新港建隆,0.0,0.0,0.0,0.0,0.0,0.0
7,上元盛世,76.65,0.0,67.23,-40000.0,0.0,0.0
8,新港建武,74.65,0.0,87.71,40000.0,0.0,0.0
9,文景海洋,91.61,65000.0,78.39,0.0,0.0,0.0
10,文景盛世,85.74,40000.0,73.12,-10000.0,0.0,0.0
11,新港澜阔,69.96,-50000.0,73.7,0.0,0.0,0.0
12,鑫港鲲鹏,72.63,0.0,60.4,-50000.0,0.0,0.0
13,新港澜舰,72.95,-50000.0,80.69,0.0,0.0,0.0
14,新茂元大,86.3,25000.0,88.38,10000.0,0.0,0.0
15,新港澜轩,87.2,40000.0,78.53,-10000.0,0.0,0.0
16,新港浩蓝,75.87,0.0,72.77,0.0,0.0,0.0
17,贵州新港蔚蓝,82.32,0.0,79.1,0.0,0.0,0.0
18,贵州新港浩蓝,76.55,0.0,67.13,-50000.0,0.0,0.0
19,贵州新港澜源,78.47,0.0,64.85,-70000.0,0.0,0.0
20,贵州新港海之辇,82.22,0.0,78.57,-20000.0,0.0,0.0
23,上元坤灵,70.31,-80000.0,74.71,-20000.0,0.0,0.0
24,上元曦和,55.21,-80000.0,79.27,0.0,0.0,0.0
25,上元弘川,0.0,0.0,0.0,0.0,0.0,0.0
26,上元星汉,0.0,0.0,0.0,0.0,0.0,0.0
27,贵州上元曦和,88.47,0.0,81.22,-20000.0,0.0,0.0
28,贵州新港澜轩,79.0,0.0,71.09,-20000.0,0.0,0.0
29,贵州上元坤灵,0.0,0.0,0.0,0.0,0.0,0.0
30,宜宾上元曦和,64.42,-20000.0,79.82,-40000.0,78.26,0.0
31,乐山上元曦和,69.23,-40000.0,64.37,-80000.0,87.84,0.0
32,西藏上元曦和,0.0,0.0,0.0,0.0,0.0,0.0
33,泸州上元坤灵,88.61,0.0,84.1,0.0,89.36,0.0
34,上元臻智,81.95,132750.0,81.2,-40000.0,83.72,-19711.760000000002
35,上元臻享,62.0,-50000.0,75.6,-20000.0,0.0,0.0
36,上元臻盛,0.0,0.0,0.0,0.0,86.0,10288.24
37,贵州上元臻智,0.0,0.0,74.74,10000.0,74.81,-34000.0
38,乐山上元臻智,69.23,0.0,69.69,-70000.0,80.87,-40000.0
39,绵阳新港鑫泽,0.0,0.0,0.0,0.0,0.0,0.0
40,德阳上元臻智,0.0,0.0,0.0,0.0,79.79,-30000.0
41,宜宾上元臻智,0.0,0.0,83.41,10000.0,82.22,-19711.760000000002
